,date,start_time,visiting_team, visitor_score,home_team,home_score,attendance,arena
0,"Tue, Oct 24, 2023",7:30p,Los Angeles Lakers,107,Denver Nuggets,119,"19,842",Ball Arena
1,"Tue, Oct 24, 2023",10:00p,Phoenix Suns,108,Golden State Warriors,104,"18,064",Chase Center
2,"Wed, Oct 25, 2023",7:00p,Houston Rockets,86,Orlando Magic,116,"18,846",Amway Center
3,"Wed, Oct 25, 2023",7:00p,Boston Celtics,108,New York Knicks,104,"19,812",Madison Square Garden (IV)
4,"Wed, Oct 25, 2023",7:00p,Washington Wizards,120,Indiana Pacers,143,"16,004",Gainbridge Fieldhouse
5,"Wed, Oct 25, 2023",7:00p,Atlanta Hawks,110,Charlotte Hornets,116,"16,129",Spectrum Center
6,"Wed, Oct 25, 2023",7:30p,Detroit Pistons,102,Miami Heat,103,"19,695",Kaseya Center
7,"Wed, Oct 25, 2023",7:30p,Minnesota Timberwolves,94,Toronto Raptors,97,"19,800",Scotiabank Arena
8,"Wed, Oct 25, 2023",7:30p,Cleveland Cavaliers,114,Brooklyn Nets,113,"17,931",Barclays Center
9,"Wed, Oct 25, 2023",8:00p,New Orleans Pelicans,111,Memphis Grizzlies,104,"17,798",FedEx Forum
10,"Wed, Oct 25, 2023",8:00p,Oklahoma City Thunder,124,Chicago Bulls,104,"21,369",United Center
11,"Wed, Oct 25, 2023",9:00p,Sacramento Kings,130,Utah Jazz,114,"18,206",Delta Center
12,"Wed, Oct 25, 2023",9:30p,Dallas Mavericks,126,San Antonio Spurs,119,"18,947",Frost Bank Center
13,"Wed, Oct 25, 2023",10:30p,Portland Trail Blazers,111,Los Angeles Clippers,123,"19,370",Crypto.com Arena
14,"Thu, Oct 26, 2023",7:30p,Philadelphia 76ers,117,Milwaukee Bucks,118,"17,783",Fiserv Forum
15,"Thu, Oct 26, 2023",10:00p,Phoenix Suns,95,Los Angeles Lakers,100,"18,997",Crypto.com Arena
16,"Fri, Oct 27, 2023",7:00p,Denver Nuggets,108,Memphis Grizzlies,104,"16,617",FedEx Forum
17,"Fri, Oct 27, 2023",7:00p,Detroit Pistons,111,Charlotte Hornets,99,"15,855",Spectrum Center
18,"Fri, Oct 27, 2023",7:30p,New York Knicks,126,Atlanta Hawks,120,"17,692",State Farm Arena
19,"Fri, Oct 27, 2023",7:30p,Oklahoma City Thunder,108,Cleveland Cavaliers,105,"19,432",Rocket Mortgage Fieldhouse
20,"Fri, Oct 27, 2023",7:30p,Miami Heat,111,Boston Celtics,119,"19,156",TD Garden
21,"Fri, Oct 27, 2023",8:00p,Toronto Raptors,103,Chicago Bulls,104,"19,555",United Center
22,"Fri, Oct 27, 2023",8:00p,Houston Rockets,122,San Antonio Spurs,126,"18,354",Frost Bank Center
23,"Fri, Oct 27, 2023",8:30p,Brooklyn Nets,120,Dallas Mavericks,125,"20,238",American Airlines Center
24,"Fri, Oct 27, 2023",9:30p,Los Angeles Clippers,118,Utah Jazz,120,"18,206",Delta Center
25,"Fri, Oct 27, 2023",10:00p,Orlando Magic,102,Portland Trail Blazers,97,"19,464",Moda Center
